source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
b9cdfea872c478248d9db8c8a0fa86da,,planning-application,https://www.adur-worthing.gov.uk/datasets/#planning,243421f06736bbfd943277196603d48fb95096d0106332b888cfd523a03a4d6f,ogl3,local-authority-eng:ADR,planning-application,2022-03-11T13:13:40:46Z,,
1bbb46bd40970f3c00a700467ca33d94,,planning-application,https://www.adur-worthing.gov.uk/datasets/#planning,ad136cda0146efe5f810a5ae83ae276f91cab89b528233e73068459383f03fa3,ogl3,local-authority-eng:WOT,planning-application,2022-03-11T13:13:41:14Z,,
a5e0e6be9bd5cb29d536194a978996af,,planning-application,https://www.opendatanottingham.org.uk/dataset.aspx?id=28,187856599a692015ae73ed2a40444f4230830bd65b16d5609cd92404b105bc71,ogl3,local-authority-eng:NGM,planning-application,2022-03-21T17:17:16:28Z,2021-10-25,
8fc64ab37dad18f5afe82ba475afdbc9,,planning-application,https://opendata.camden.gov.uk/Environment/Planning-Applications/2eiu-s2cw,c167254a596bb25b28e08eae99cb57b01d254b871ed809657cf3dcd192273781,,local-authority-eng:CMD,planning-application,2023-06-23T10:10:11:49Z,,
339f0ba79c96b30236a2be9a44853e99,,planning-application,https://www.opendatanottingham.org.uk/dataset.aspx?id=28,1a9dcdd88f72c5e2907b3adf3a1ca8d206b99924499112d6a250a99eca1b59a0,,local-authority-eng:NGM,planning-application,2023-06-23T10:10:15:03Z,,
fedb4c943e7df7e127b2a95492b6d054,,planning-application,,91e3956ad4a512a974678a5cfce5b9705445c8841c55acd5f833e328bd4b85ad,,,planning-application,2023-09-19T09:09:04:50Z,,
